State,County,Uninsured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Income inequality,Children in single-parent households,Social associations,Violent crime,Injury deaths,Air pollution - particulate matter,Drinking water violations,Severe housing problems,Driving alone to work,Long commute - driving alone,2011 population estimate,Population that is not proficient in English,Population living in a rural area,Diabetes,HIV prevalence rate,Premature age-adjusted mortality,Infant mortality,Child mortality,Food insecurity,Limited access to healthy foods,Motor vehicle crash deaths,Drug poisoning deaths,Uninsured adults,Uninsured children,Health care costs,Could not see doctor due to cost,Other primary care providers,Median household income,Children eligible for free lunch,Homicide rate,Inadequate social support
CO,Phillips County,0.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.258,0.232,34.349,37.26,95.8,13.37,0,0.154,0.69,0.166,4356,0.075,1,0.077,,256.7,,,0.126,0.092,,,0.244,0.14,10348,0.132,46,46805,0.295,,
CO,Pitkin County,0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183,,159.45,62.2,11.87,0,0.202,0.484,0.198,17263,0.022,0.442,0.048,204.4,163.2,,,0.133,0.016,10.66,13.33,0.192,0.129,9658,0.14,41,67057,0.13,,0.196
CO,Pitkin County,0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,0.179,19.695,138.64,60,11.87,0,0.212,0.468,0.19,17379,0.015,0.442,0.049,204.4,118.5,,,0.139,0.016,,10.32,0.193,0.121,9256,0.14,46,71012,0.174,,
CO,Prowers County,0.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319,,102.68,92.7,13.29,0.114,0.159,0.709,0.107,12389,0.039,0.379,0.073,89.6,457.8,,71.5,0.137,0.15,24.24,,0.275,0.129,10100,0.204,57,36580,0.525,,0.198
CO,Prowers County,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.585,0.306,13.722,118.28,87.7,13.29,0.134,0.146,0.735,0.112,12291,0.051,0.379,0.071,89.6,401.9,,95.1,0.144,0.15,20.31,11.29,0.258,0.122,9444,0.204,73,38830,0.519,,
CO,Pueblo County,0.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.394,,560.2,78.9,13.05,0.006,0.175,0.793,0.176,160852,0.016,0.142,0.087,114.1,418.6,6.7,59.9,0.156,0.16,14.64,14.08,0.186,0.077,8477,0.158,69,41209,0.48,5.93,0.192
CO,Pueblo County,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.743,0.394,8.641,530.33,87.2,13.05,0.003,0.176,0.794,0.181,161451,0.017,0.142,0.09,114.1,411.1,5.8,52.3,0.153,0.16,13.79,16.33,0.194,0.08,8700,0.158,72,41352,0.492,6.3,
CO,Rio Blanco County,0.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174,,277.2,110.7,12.66,0,0.086,0.613,0.207,6857,0.031,1,0.061,,289.1,,,0.117,0.023,31.48,,0.203,0.139,10375,0.111,44,57922,0.205,,0.161
CO,Rio Blanco County,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.678,0.106,11.667,162.37,110.1,12.66,0,0.084,0.629,0.233,6807,0.039,1,0.06,,310.5,,,0.134,0.023,30.33,,0.188,0.12,8178,0.111,29,59364,0.199,,
CO,Rio Grande County,0.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.297,,235.56,105.7,12.24,0.006,0.171,0.733,0.208,11943,0.028,0.625,0.073,49.9,383.7,,,0.143,0.023,26.15,11.89,0.258,0.132,7853,0.151,75,37837,0.452,,0.2
CO,Rio Grande County,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.092,0.258,17.584,178.23,119.1,12.24,0.142,0.187,0.733,0.226,11803,0.031,0.625,0.071,49.9,426.4,,,0.142,0.023,23.95,20.36,0.25,0.13,8005,0.151,68,39834,0.493,,
CO,Routt County,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.219,,230.09,85.5,13.64,0.035,0.185,0.644,0.215,23334,0.005,0.452,0.033,79,234.5,,56.8,0.125,0.051,17.17,8.9,0.176,0.101,7323,0.136,60,62271,0.137,,0.09
CO,Routt County,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.862,0.225,13.285,207.85,80.4,13.64,0.047,0.184,0.664,0.204,23513,0.006,0.452,0.039,79,196,,,0.129,0.051,14.26,9.92,0.173,0.092,7038,0.136,60,63763,0.141,,
CO,Saguache County,0.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.409,,240.73,100.7,12.18,0,0.207,0.594,0.302,6304,0.068,1,0.055,152.6,345.9,,,0.167,0.515,,,0.35,0.211,6566,0.239,16,30197,0.678,,
CO,Saguache County,0.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.274,0.423,11.104,241.47,84,12.18,0.011,0.212,0.623,0.266,6208,0.063,1,0.06,152.6,251.8,,,0.163,0.515,,,0.348,0.197,6182,0.239,16,35310,0.729,,
CO,San Miguel County,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194,,115.43,,10.65,0,0.195,0.456,0.192,7580,0.03,1,0.047,109.5,149,,,0.132,0.013,21.73,,0.223,0.167,7680,,53,53477,0.18,,0.154
CO,San Miguel County,0.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.847,0.19,14.512,102.5,61.9,10.65,0.001,0.216,0.469,0.205,7678,0.022,1,0.048,109.5,153.2,,,0.135,0.013,,,0.237,0.156,6992,,65,53674,0.218,,
CO,Sedgwick County,0.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.313,,189.91,,13.4,0,0.08,0.618,0.252,2383,0.018,1,0.075,,422.1,,,0.122,0.045,,,0.241,0.153,7118,,84,37633,0.145,,
CO,Sedgwick County,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.755,0.42,16.786,207.6,134,13.4,0,0.084,0.662,0.249,2360,0.008,1,0.079,,454.2,,,0.126,0.045,,,0.241,0.137,8335,,85,39980,0.18,,
CO,Summit County,0.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,131.86,39.9,12.79,0,0.212,0.62,0.135,28044,0.046,0.195,0.039,153.4,133.5,,,0.129,0.061,10.74,9.67,0.23,0.133,7653,0.078,36,61286,0.239,,0.168
CO,Summit County,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.388,0.275,7.845,127.4,44.7,12.79,0.032,0.212,0.613,0.142,28649,0.031,0.195,0.04,153.4,121,,,0.134,0.061,5.75,10.45,0.215,0.113,7316,0.078,45,63236,0.253,,
CO,Teller County,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.271,,156.7,78.1,12.68,0.041,0.172,0.742,0.519,23389,0.002,0.626,0.068,24.6,281.5,,67.2,0.117,0.047,14.59,19.03,0.157,0.102,8183,0.144,34,59558,0.248,,0.162
CO,Teller County,0.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.867,0.273,12.827,165.29,70,12.68,0.077,0.168,0.725,0.516,23275,0,0.626,0.07,24.6,263.8,,74.7,0.123,0.047,11.2,17.42,0.16,0.09,7770,0.144,30,62725,0.253,,
CO,Washington County,0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243,,176.43,,13.67,0.022,0.119,0.691,0.316,4766,0.01,1,0.071,,281.3,,,0.116,0.191,35.26,,0.249,0.179,7985,0.2,42,43446,0.305,,
CO,Washington County,0.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.176,0.248,20.982,199.34,66.8,13.67,0.022,0.115,0.701,0.344,4803,0.009,1,0.071,,299,,,0.122,0.191,35.57,,0.232,0.13,8325,0.2,42,45572,0.281,,
CO,Weld County,0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239,,282.39,57.8,13.66,0.027,0.181,0.783,0.361,263691,0.042,0.205,0.061,74.2,292.3,6.9,56.2,0.142,0.048,17.08,7.93,0.216,0.097,9123,0.162,53,55332,0.382,2.79,0.171
CO,Weld County,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.384,0.259,7.243,289.83,60.1,13.66,0.006,0.188,0.792,0.361,269785,0.04,0.205,0.063,74.2,283.8,6.5,50.5,0.136,0.048,14.18,10.03,0.222,0.125,8886,0.162,56,58404,0.456,2.2,
CO,Yuma County,0.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127,,66.82,66.7,13.48,0,0.085,0.658,0.135,10119,0.061,0.649,0.06,110.9,292.6,,,0.1,0.068,17.38,,0.267,0.156,10636,0.096,40,45059,0.402,,0.178
CO,Yuma County,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84,0.086,13.835,62.29,71.8,13.48,0,0.072,0.69,0.137,10151,0.059,0.649,0.064,110.9,291.7,,,0.117,0.068,17.22,,0.274,0.152,10171,0.096,30,45487,0.43,,
KS,Allen County,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.347,,321.6,89,8.15,0.261,0.085,0.857,0.145,13319,0.002,0.572,0.119,44.3,439.6,,,0.14,0.134,42.09,,0.177,0.063,9663,0.121,68,37952,0.437,,0.143
KS,Allen County,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.308,0.35,15.767,294.39,89.8,8.15,0,0.094,0.822,0.131,13124,0.001,0.572,0.108,44.3,469.4,,,0.146,0.134,34.03,18.08,0.177,0.077,9406,0.121,76,40073,0.457,,
KS,Anderson County,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.321,,363.17,69.3,8.18,0.222,0.113,0.745,0.373,7917,0.003,0.588,0.09,,339.7,,,0.133,0.093,31.8,,0.191,0.074,9600,0.137,25,42424,0.397,,0.116
KS,Anderson County,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.028,0.321,12.631,292.53,76.8,8.18,0.449,0.125,0.763,0.319,7897,0.005,0.588,0.094,,366.8,,,0.14,0.093,28.36,,0.205,0.078,9262,0.137,38,42386,0.389,,
KS,Atchison County,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.371,,239.97,58,8.27,0.679,0.105,0.769,0.239,16813,0.002,0.342,0.101,57.1,407.2,,,0.154,0.078,16.91,8.45,0.173,0.055,8507,0.092,42,43253,0.488,,0.17
KS,Atchison County,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.335,0.358,18.438,247.87,75.9,8.27,0.664,0.11,0.754,0.252,16749,0.002,0.342,0.104,57.1,413.5,,67.7,0.15,0.078,18.63,10.16,0.156,0.063,8391,0.092,42,44180,0.493,,
KS,Barber County,0.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,152.82,81.6,10.78,0,0.087,0.828,0.118,4861,0.003,1,0.122,,331.4,,,0.111,0.042,52.17,,0.178,0.09,10047,,103,47811,0.271,,0.09
KS,Barber County,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02,0.343,34.972,221.22,115.1,10.78,0,0.076,0.836,0.137,4947,0.002,1,0.107,,398.7,,,0.118,0.042,52.53,,0.167,0.092,9223,,101,50097,0.284,,
KS,Barton County,0.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,362.94,69.1,11.49,0,0.082,0.828,0.114,27557,0.041,0.318,0.119,104.7,374.5,12.3,48.4,0.122,0.076,12.99,,0.213,0.083,10364,0.125,98,43371,0.471,,0.156
KS,Barton County,0.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.939,0.24,20.322,410.74,81.9,11.49,0.016,0.097,0.824,0.131,27509,0.036,0.318,0.104,104.7,394.9,9.3,58.9,0.126,0.076,17.63,,0.209,0.088,10172,0.125,98,42464,0.485,,
KS,Bourbon County,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.305,,316.02,79.5,8.4,0,0.105,0.814,0.206,14897,0,0.48,0.098,56.2,418.3,,77.1,0.147,0.076,26.52,14.2,0.186,0.066,8581,0.161,94,37057,0.508,,0.202
KS,Bourbon County,0.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.853,0.335,16.782,329.64,77,8.4,0.236,0.103,0.804,0.189,14852,0.001,0.48,0.103,56.2,422.9,,65.5,0.151,0.076,22.78,13.29,0.176,0.069,8694,0.161,94,35990,0.525,,
KS,Brown County,0.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,185.49,91.8,8.29,0.371,0.097,0.782,0.176,9881,0.007,0.684,0.116,,438.7,,99.4,0.15,0.026,26.98,,0.193,0.078,9947,0.121,81,42256,0.459,,0.177
KS,Brown County,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.469,0.358,20.241,176.58,92.3,8.29,0.047,0.105,0.786,0.156,9997,0.007,0.684,0.128,,455.6,,,0.159,0.026,28.58,14.29,0.203,0.091,9906,0.121,100,41426,0.459,,
KS,Butler County,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225,,218.56,67.2,9.26,0.021,0.1,0.863,0.298,65827,0.004,0.405,0.094,59.8,371,6.9,59.5,0.124,0.058,18.28,12.04,0.14,0.054,9367,0.087,35,58031,0.224,,0.147
KS,Butler County,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.982,0.231,12.609,213.03,67.7,9.26,0.022,0.095,0.874,0.307,65803,0.003,0.405,0.094,59.8,357.7,6.4,49.9,0.123,0.058,17.55,14.7,0.132,0.068,9460,0.087,33,56456,0.231,,
KS,Chase County,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261,,47.73,,9.18,0,0.136,0.777,0.283,2757,0.011,1,0.104,,376.8,,,0.119,0.315,,,0.198,0.096,8513,,73,42940,0.253,,
KS,Chase County,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51,0.224,21.763,94.91,,9.18,0,0.143,0.786,0.286,2700,0.008,1,0.107,,374.5,,,0.133,0.315,,,0.193,0.102,7782,,74,44300,0.237,,
KS,Chautauqua County,0.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.298,,,,9.04,0,0.096,0.79,0.403,3571,0.011,1,0.108,,518.9,,,0.142,0.079,,,0.249,0.111,9578,0.162,224,35714,0.448,,
KS,Chautauqua County,0.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.533,0.303,19.602,,109.6,9.04,0,0.1,0.781,0.378,3552,0.008,1,0.114,,421.4,,,0.141,0.079,,,0.256,0.12,10958,0.162,253,38973,0.51,,
KS,Cherokee County,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.265,,265.07,76.3,8.9,0.018,0.115,0.839,0.246,21226,0.002,0.491,0.119,53.6,526.8,,59.5,0.14,0.068,24.9,11.14,0.187,0.066,9706,0.119,80,39938,0.476,,0.168
KS,Cherokee County,0.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.266,0.266,16.018,279.76,83.6,8.9,0.021,0.115,0.849,0.24,20978,0.002,0.491,0.125,53.6,554.8,,46.8,0.149,0.068,23.79,13.88,0.194,0.071,10243,0.119,105,40310,0.496,,
KS,Cheyenne County,0.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.262,,134.61,143.6,13.28,0.75,0.102,0.7,0.115,2678,0.008,1,0.109,,345.9,,,0.106,0.367,,,0.197,0.095,11707,,112,40810,0.361,,
KS,Cheyenne County,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.176,0.2,33.607,134.13,117.3,13.28,0.75,0.094,0.733,0.143,2694,0.006,1,0.121,,335.4,,,0.115,0.367,,,0.187,0.099,11405,,148,39317,0.368,,
KS,Clark County,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,107.28,,11.51,0.046,0.105,0.801,0.14,2181,0.009,1,0.107,,309.6,,,0.11,0.31,,,0.17,0.089,21913,,183,43310,0.304,,0.12
KS,Clark County,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.009,0.244,27.51,121.25,,11.51,0.046,0.113,0.797,0.171,2193,0.007,1,0.123,,336.2,,,0.128,0.31,,,0.163,0.095,11980,,182,42866,0.329,,
KS,Clay County,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273,,203.86,114.9,9.99,0,0.091,0.775,0.27,8531,0,0.495,0.097,,367.9,,,0.118,0.097,26.88,,0.163,0.062,8724,0.097,70,47736,0.264,,0.097
KS,Clay County,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.938,0.285,28.133,155.39,95.9,9.99,0,0.105,0.788,0.25,8406,0,0.495,0.104,,302.3,,,0.126,0.097,18.41,,0.157,0.067,9687,0.097,95,48178,0.274,,
KS,Cloud County,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.289,,343.76,92.2,10.54,0.004,0.092,0.81,0.123,9397,0.005,0.44,0.118,,407.6,,130.6,0.122,0.124,25.3,,0.184,0.063,9049,0.086,64,40184,0.38,,0.233
KS,Cloud County,0.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.909,0.312,30.861,367.9,95,10.54,0.004,0.108,0.821,0.15,9292,0.004,0.44,0.123,,378.7,,,0.13,0.124,24.07,,0.178,0.07,9286,0.086,65,40663,0.414,,
KS,Coffey County,0.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.299,,151.65,86.2,8.27,0,0.068,0.775,0.236,8502,0.004,0.709,0.109,,391.7,,,0.121,0.167,26.56,,0.15,0.06,9091,0.121,59,50826,0.317,,0.137
KS,Coffey County,0.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.956,0.296,18.819,138.51,98.2,8.27,0,0.068,0.803,0.234,8412,0.001,0.709,0.093,,434.3,,,0.127,0.167,28.35,,0.133,0.062,9251,0.121,48,53487,0.327,,
KS,Comanche County,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.777,0.114,52.274,,105.6,11.17,0,0.053,0.753,0.096,1955,0.003,1,0.12,,468.2,,,0.109,0.067,,,0.176,0.099,8677,,153,44076,0.247,,
KS,Cowley County,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.357,,356.88,72.5,9.37,0.003,0.126,0.805,0.211,36288,0.02,0.31,0.111,42.7,427.2,8.6,95,0.145,0.056,21.74,10.67,0.185,0.064,8400,0.144,47,37436,0.476,,0.178
KS,Cowley County,0.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.137,0.308,18.188,378.74,75.5,9.37,0.004,0.131,0.812,0.206,36204,0.02,0.31,0.119,42.7,434.7,9.9,70.6,0.148,0.056,17.37,9.08,0.189,0.073,8368,0.144,47,42341,0.491,,
KS,Crawford County,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308,,373.63,77.5,8.44,0,0.146,0.863,0.171,39361,0.015,0.349,0.1,72.8,436.7,8.6,57.8,0.165,0.142,21.68,13.23,0.203,0.069,10685,0.137,122,35365,0.482,,0.173
KS,Crawford County,0.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.58,0.297,12.703,331.56,68.5,8.44,0.007,0.17,0.868,0.179,39278,0.016,0.349,0.102,72.8,426.3,8.4,40.3,0.166,0.142,15.72,13.53,0.216,0.078,10491,0.137,137,36958,0.472,,
KS,Decatur County,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,,175.9,139.2,12.84,0.879,0.053,0.746,0.171,2871,0.006,1,0.14,,458.7,,,0.105,0.077,,,0.191,0.093,10136,,,40168,0.286,,
KS,Decatur County,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.813,0.313,38.314,167.79,122.3,12.84,0.878,0.057,0.753,0.144,2930,0.003,1,0.131,,545.5,,,0.118,0.077,,,0.172,0.091,10579,,0,37789,0.28,,
KS,Dickinson County,0.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,169.39,58,9.92,0.137,0.114,0.762,0.315,19762,0.002,0.643,0.104,28.2,328.1,,76.5,0.123,0.055,17.56,,0.168,0.068,7593,0.099,71,47962,0.279,,0.135
KS,Dickinson County,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.782,0.264,23.277,164.48,69.8,9.92,0.047,0.097,0.782,0.304,19609,0.003,0.643,0.107,28.2,350.4,,82.3,0.13,0.055,15.25,9.44,0.153,0.068,7671,0.099,66,49033,0.334,,
KS,Doniphan County,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.287,,270.61,62.8,8.38,0.038,0.094,0.812,0.234,7864,0.005,0.702,0.099,,319.9,,,0.143,0.212,26.95,,0.173,0.07,9738,0.12,25,44524,0.352,,0.096
KS,Doniphan County,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.956,0.284,16.531,238.23,47.9,8.38,0.032,0.077,0.822,0.214,7851,0.005,0.702,0.097,,313.7,,,0.14,0.212,21.59,,0.178,0.075,8917,0.12,25,46338,0.387,,
KS,Douglas County,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.305,,403,45.3,8.24,0,0.203,0.748,0.262,112864,0.016,0.11,0.058,89.1,252.9,6.3,45.5,0.169,0.041,8.07,7.81,0.172,0.066,8585,0.092,47,48813,0.258,1.99,0.138
KS,Douglas County,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.213,0.283,10.366,387.3,43.8,8.24,0,0.218,0.759,0.261,114322,0.016,0.11,0.061,89.1,263.9,5,32.2,0.171,0.041,6.88,8.57,0.172,0.078,8254,0.092,45,51221,0.287,,
KS,Edwards County,0.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164,,,,11.67,0.103,0.076,0.828,0.265,2979,0.036,1,0.106,,459.1,,,0.115,0.05,,,0.213,0.114,11924,,101,44028,0.393,,0.152
KS,Edwards County,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.458,0.199,16.784,,132.4,11.67,0,0.093,0.821,0.28,2945,0.036,1,0.113,,424.8,,,0.116,0.05,47.06,,0.219,0.128,11820,,102,45687,0.382,,
KS,Elk County,0.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273,,113.46,,8.71,0.296,0.104,0.773,0.403,2720,0.006,1,0.132,,427,,,0.142,0.498,,,0.238,0.105,10256,,37,34857,0.482,,
KS,Elk County,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.127,0.268,14.706,88.24,126,8.71,0.147,0.112,0.758,0.442,2655,0.023,1,0.135,,478.6,,,0.142,0.498,,,0.223,0.109,8867,,38,37537,0.503,,
KS,Ellis County,0.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228,,279.44,59.2,12.31,0.005,0.122,0.82,0.062,29053,0.008,0.256,0.075,29.1,330.3,,43.2,0.129,0.058,14.87,,0.151,0.053,9757,0.073,141,45969,0.282,,0.147
KS,Ellis County,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.718,0.241,12.735,333.88,62.4,12.31,0.002,0.113,0.835,0.065,29061,0.008,0.256,0.082,29.1,308.6,,62.7,0.136,0.058,17.68,,0.157,0.063,9938,0.073,158,47454,0.275,,
KS,Ellsworth County,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.253,,218.79,64.9,11.01,0,0.084,0.768,0.17,6494,0.001,0.541,0.102,87.5,357.2,,,0.102,0.111,,,0.163,0.071,11586,0.125,62,48874,0.335,,0.097
KS,Ellsworth County,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.442,0.262,27.718,209.87,67.9,11.01,0.174,0.055,0.794,0.19,6398,0.003,0.541,0.105,87.5,381.9,,,0.112,0.111,,,0.15,0.068,10711,0.125,63,48030,0.246,,
KS,Finney County,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247,,364.75,64.8,12.51,0.411,0.151,0.792,0.089,37200,0.102,0.186,0.088,63.4,316.1,6.1,67.5,0.117,0.091,20.03,,0.253,0.086,8214,0.143,48,46496,0.545,,0.221
KS,Finney County,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,0.245,11.022,383.58,67.8,12.51,0.026,0.164,0.771,0.098,37098,0.113,0.186,0.091,63.4,310.5,5.4,63.7,0.109,0.091,23.16,4.71,0.255,0.089,8115,0.143,49,46984,0.55,4,
KS,Ford County,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249,,458.91,52.6,11.92,0.004,0.168,0.807,0.095,34752,0.156,0.193,0.096,98.5,327.2,7.7,91.7,0.115,0.138,23.68,,0.287,0.1,8442,0.142,60,46668,0.647,,0.228
KS,Ford County,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.429,0.24,10.071,410.11,68.8,11.92,0.46,0.169,0.826,0.101,34819,0.139,0.193,0.094,98.5,316.5,7.3,87.3,0.107,0.138,21.49,4.3,0.279,0.099,9050,0.142,69,46444,0.648,,
KS,Franklin County,0.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267,,277.44,77.4,8.22,0,0.107,0.803,0.375,25906,0.004,0.521,0.111,71,369,7.8,51.5,0.141,0.146,19.42,11.1,0.147,0.057,8968,0.112,15,48895,0.405,,0.146
KS,Franklin County,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.917,0.269,13.896,276.17,71,8.22,0.01,0.129,0.777,0.369,25740,0.005,0.521,0.123,71,359.6,,52.7,0.146,0.146,20.44,12.71,0.153,0.061,9309,0.112,19,48297,0.423,,
KS,Geary County,0.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312,,481.29,74.4,9.49,0.007,0.112,0.775,0.127,38013,0.016,0.117,0.081,137,443,8.8,125.2,0.184,0.127,15.04,11.16,0.197,0.067,8456,0.104,179,46008,0.393,7.28,0.175
KS,Geary County,0.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.073,0.283,8.418,498.83,74.3,9.49,0.004,0.139,0.79,0.114,37384,0.011,0.117,0.079,137,408.6,8.9,103.6,0.177,0.127,13.77,12.44,0.194,0.066,8585,0.104,198,41048,0.374,6.5,
KS,Gove County,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138,,170.89,,12.86,0,0.059,0.71,0.139,2729,0.002,1,0.129,,351.4,,,0.096,0.288,,,0.191,0.111,10780,,,47114,0.245,,0.202
KS,Gove County,0.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.569,0.121,43.972,224.47,156.1,12.86,0.024,0.038,0.695,0.109,2769,0.001,1,0.132,,259.1,,,0.107,0.288,,,0.182,0.109,12322,,0,48042,0.241,,
KS,Graham County,0.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174,,90.08,,12.69,0.078,0.091,0.753,0.164,2578,0,1,0.117,,333.6,,,0.107,0.078,,,0.188,0.094,11612,,39,45650,0.294,,0.142
KS,Graham County,0.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.265,0.193,23.274,152.59,,12.69,0.08,0.093,0.761,0.141,2593,0,1,0.114,,439.6,,,0.112,0.078,,,0.174,0.092,12597,,39,44422,0.219,,
KS,Grant County,0.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.296,,186.47,77.5,12.57,0.488,0.09,0.776,0.061,7923,0.085,0.198,0.094,,307.1,,112.6,0.104,0.037,35.12,,0.241,0.105,7908,0.129,25,53369,0.465,,0.172
